stop_id,stop_code,stop_name,stop_lat,stop_lon
0600MA0166,chemjat,"Knutsford, Sugar Pit Lane (cnr)",53.31068,-2.38578
0600MA0170,cheatmp,"Mere (Cheshire), Mereheath Lane (cnr)",53.32722,-2.39677
0600MA0171,chemjdg,"Knutsford, Sugar Pit Lane (opp)",53.31035,-2.38515
0600MA0202,cheatpj,"Pickmere, Red Lion PH (SW-bound)",53.28971,-2.46087
0600MA0203,cheatpm,"Pickmere, Red Lion PH (NE-bound)",53.28981,-2.46105
0600MA0213,cheatpw,"Little Bollington, Stamford Arms PH (nr)",53.37500,-2.41167
0600MA0214,cheatwa,"Little Bollington, Stamford Arms PH (o/s)",53.37444,-2.40982
0600MA0219,cheatwd,"Mere (Cheshire), Mereside Farm (opp)",53.33597,-2.39942
0600MA0231,cheatwm,"Mobberley (Cheshire), Station Road (opp)",53.32878,-2.33692
0600MA0250,cheawaj,"Mobberley (Cheshire), Bucklow Avenue (nr)",53.31402,-2.33011
0600MA0251,cheawam,"Mobberley (Cheshire), Bucklow Avenue (opp)",53.31427,-2.33031
0600MA0252,cheawap,"Mobberley (Cheshire), Victory Hall (opp)",53.31383,-2.31703
0600MA0253,chempdp,"Mobberley (Cheshire), Victory Hall (nr)",53.31398,-2.31701
0600MA0274,cheawat,"Alderley Edge, Nat West Bank (S-bound)",53.30040,-2.23618
0600MA0275,cheawaw,"Alderley Edge, Nat West Bank (nr)",53.30030,-2.23643
0600MA0303,chemtag,"Henbury (Cheshire), Blacksmith's Arms PH (opp)",53.25953,-2.18248
0600MA0304,chemtaj,"Henbury (Cheshire), Blacksmith's Arms PH (o/s)",53.25954,-2.18396
0600MA0310,cheawgj,"Monks Heath, Tiger Lily (o/s)",53.26478,-2.23462
0600MA0322,cheawgw,"Adlington (Cheshire), Railway Station (o/s)",53.31995,-2.13494
0600MA0323,cheawja,"Adlington (Cheshire), Railway Station (opp)",53.32000,-2.13518
0600MA0378,cheawmw,"Newtown (New Mills), Swan Hotel (nr)",53.35790,-2.01154
0600MA0379,cheawpa,"Newtown (New Mills), Swan Hotel (opp)",53.35804,-2.01181
0600MA0394,cheawpg,"Disley, Ram's Head Hotel (o/s)",53.35860,-2.04029
0600MA0395,cheawpj,"Disley, Ram's Head Hotel (opp)",53.35874,-2.04048
0600MA0398,chemwjg,"Disley, Lyme Park (o/s)",53.35770,-2.05391
0600MA0399,chemwjm,"Disley, Lyme Park (opp)",53.35793,-2.05382
0600MA0400,chemwjp,"Disley, Park Road (opp)",53.35992,-2.05561
0600MA0401,chemwjt,"Disley, Park Road (nr)",53.36041,-2.05740
0600MA0419,chemwmw,"Bollington Cross, St Oswald's Church (opp)",53.29149,-2.12000
0600MA0419A,chepmtd,"Bollington Cross, St Oswald's Church (o/s)",53.29179,-2.11954
0600MA0429,chegadj,"Bollington, Waggon & Horses (nr)",53.29365,-2.11003
0600MA0430,chegadm,"Bollington, Waggon & Horses (adj)",53.29426,-2.11032
0600MA0439,chepadg,"Bollington, Turners Arms PH (nr)",53.29869,-2.09234
0600MA0443,chepadp,"Bollington, Beeston Mount (cnr)",53.30057,-2.08951
0600MA0445,chegadt,"Pott Shrigley, Saint Christopher's Church (opp)",53.30952,-2.08363
0600MA0446,chegadw,"Pott Shrigley, Saint Christopher's Church (nr)",53.30938,-2.08373
0600MA0450,chegaga,"Wood Lanes, Wood Lanes Church (o/s)",53.33235,-2.09705
0600MA0451,chegagd,"Wood Lanes, Wood Lanes Church (opp)",53.33248,-2.09693
0600MA0461,chepajp,"Higher Poynton, Shrigley Road North (cnr)",53.34428,-2.08811
0600MA0462,chepajt,"Higher Poynton, Shrigley Road North (opp)",53.34412,-2.08814
0600MA0465,chepamd,"Higher Poynton, Carleton Road (cnr)",53.35074,-2.08664
0600MA0465A,chepwpd,"Higher Poynton, Carleton Road (opp)",53.35061,-2.08680
0600MA0477,chegagp,"Poynton (Cheshire), St George's Church (adj)",53.34963,-2.12200
0600MA0478,chegagt,"Poynton (Cheshire), St George's Church (opp)",53.34855,-2.12243
0600MA0493,chegajd,"Hockley (Poynton), Post Office (o/s)",53.34779,-2.10655
0600MA0494,chegajg,"Hockley (Poynton), Post Office (opp)",53.34766,-2.10730
0600MA0497,chepawg,"Poynton (Cheshire), Clumber Road (cnr)",53.34812,-2.11542
0600MA0498,chepawj,"Poynton (Cheshire), Clumber Road (opp)",53.34827,-2.11543
0600MA0499,chegajm,"Poynton (Cheshire), St George's Church (nr)",53.34900,-2.12107
0600MA0500,chepawm,"Poynton (Cheshire), St George's Church (o/s)",53.34920,-2.12288
0600MA0509,chegajp,"Poynton (Cheshire), Railway Station (adj)",53.34999,-2.13578
0600MA0510,chegajt,"Poynton (Cheshire), Railway Station (nr)",53.35016,-2.13603
0600MA0521,chepdja,"Handforth, Ollerton Road (NE-bound)",53.35307,-2.21174
0600MA0522,chepdjd,"Handforth, Ollerton Road (SW-bound)",53.35287,-2.21179
0600MA0526,chegamd,"Handforth, Spath Lane (nr)",53.35319,-2.21623
0600MA0527,chegamg,"Handforth, Spath Lane (opp)",53.35315,-2.21651
0600MA0530,chegamt,"Handforth, Clinic (o/s)",53.34801,-2.21505
0600MA0531,chegamw,"Handforth, Clinic (opp)",53.34779,-2.21532
0600MA0532,chegapa,"Handforth, The Green (cnr)",53.34568,-2.21082
0600MA0533,chegapd,"Handforth, The Green (opp)",53.34521,-2.21058
0600MA0546,chepdpg,"Wilmslow, Benson Walk (opp)",53.34021,-2.21380
0600MA0547,chepdpj,"Wilmslow, Benson Walk (cnr)",53.34019,-2.21353
0600MA0554,chegapm,"Styal, Altrincham Road (cnr)",53.34885,-2.24249
0600MA0555,chegapt,"Styal, Altrincham Road (opp)",53.34887,-2.24219
0600MA0580,chepgda,"Lacey Green (Wilmslow), Lacey Green (cnr)",53.33813,-2.22727
0600MA0581,chepgdg,"Lacey Green (Wilmslow), Lacey Green (nr)",53.33815,-2.22688
0600MA0585,chegatj,"Wilmslow, Railway Station (o/s)",53.32655,-2.22691
0600MA0587,chegatp,"Wilmslow, Bank Square (Stand A)",53.32683,-2.23094
0600MA0588,chegatw,"Wilmslow, Bank Square (Stand B)",53.32697,-2.23064
0600MA0621,chegawd,"Alderley Edge, Brook Lane Corner (SW-bound)",53.31081,-2.25461
0600MA0622,chegawg,"Alderley Edge, Brook Lane Corner (NE-bound)",53.31084,-2.25485
0600MA17435,chetgap,"Little Bollington, Roundabout (W-bound)",53.36903,-2.39051
0600MA17437,chetgtp,"Little Bollington, Roundabout (E-bound)",53.36919,-2.39080
0600MA17439,chetgtj,"Handforth Dean, Shopping Centre (o/s)",53.34942,-2.20381
0600MA19020,chetwdt,"Woodend (Cheshire), Woodend Barn (nr)",53.36979,-2.03326
0600MA19021,chetwgd,"Woodend (Cheshire), Woodend Barn (opp)",53.36996,-2.03453
0600MA19022,chetwdj,"Woodend (Cheshire), Woodend Farm (opp)",53.37113,-2.03678
0600MA19023,chetwgm,"Woodend (Cheshire), Woodend Farm (o/s)",53.37119,-2.03741
0600MA19067,chewjtd,"Handforth Dean, Frontline House (opp)",53.35051,-2.20895
0600MA5302,chewdwt,"Poynton (Cheshire), High School (o/s)",53.34399,-2.11231
0600MA6004,chepjwp,"Macclesfield, General Hospital (E-bound)",53.26340,-2.14121
0600MA6008,chegdmg,"Broken Cross (nr Macclesfield), Shops (o/s)",53.25972,-2.16108
0600MA6020,chepwjm,"Knutsford, Bus Station (Stand 1)",53.30266,-2.37516
0600MA6050,chegdwm,"Styal, Quarry Bank Mill (nr)",53.34505,-2.24807
0600MA6059,chegjdp,"Chorley (nr Alderley Edge), Tanyard Farm (o/s)",53.29782,-2.25718
0600MA6060,chegjdt,"Chorley (nr Alderley Edge), Tanyard Farm (opp)",53.29772,-2.25694
0600MA6072,chegjmt,"Great Warford, Noonsun Farm (opp)",53.30099,-2.29692
0600MA6073,chegjmw,"Great Warford, Warford Park (o/s)",53.30404,-2.29838
0600MA6074,chegjpa,"Great Warford, Warford Park (opp)",53.30409,-2.29819
0600MA6124,chegpap,"Macclesfield, General Hospital (o/s)",53.26283,-2.14139
0600MA6142,cheptjm,"Tytherington (Macclesfield), Sandwich Drive (opp)",53.27636,-2.13597
0600MA6143,cheptjp,"Tytherington (Macclesfield), Sandwich Drive (cnr)",53.27603,-2.13570
0600MA6154,chepwgw,"Macclesfield, Bus Station (Bay 1)",53.25835,-2.12502
0600MA6156,chegpja,"Mobberley (Cheshire), Station Road (cnr)",53.32875,-2.33663
0610VR036,chwajtg,"Lostock Gralam, Slow & Easy PH (opp)",53.27002,-2.46722
0610VR038,chwajtj,"Lostock Gralam, Griffiths Road (opp)",53.26947,-2.47003
0610VR191,chwpdjt,"Northwich, Interchange (Stand A)",53.26081,-2.51235
1090BSTN01,dbyptmad,"Derby, Bus Station (Bay 1)",52.92176,-1.47212
100000012246,dbsgdmgm,"Gamesley, Hargate Hill (opp)",53.43925,-1.98837
100000016463,dbsgdmwt,"Hadfield, Hawthorn Bank (Adj)",53.45842,-1.97776
100000018693,dbsgmgjt,"Glossop, Glossopdale College (Stop 2)",53.44913,-1.94869
100000008344,dbsdpjgw,"Hadfield, Burnside (adj)",53.45788,-1.97622
100000008345,dbsdpjma,"Simmondley, Zion Church (Adj)",53.44396,-1.96762
100000008346,dbsdpjmd,"Padfield, Platt Street 105 (Opp)",53.46163,-1.95773
100000008351,dbsdpjmt,"Glossop, Talbot Road (W-bound)",53.44888,-1.94720
100000008356,dbsdpgpa,"Chisworth, Marple Road 91 (opp)",53.42635,-2.00532
100000008366,dbsdpgtj,"Hague Bar, Waterside Road (opp)",53.36837,-2.02205
100000008367,dbsdpgtm,"Hague Bar, Waterside Road (adj)",53.36832,-2.02211
100000021889,dbsgpawg,"Hadfield, The Chieftain (opp)",53.45728,-1.97695
100000022178,dbsgptjm,"Belper, Bus Garage (Bay 1)",53.02232,-1.48397
100000022238,dbsgptmp,"Padfield, Platt Street Bottom (W-bound)",53.46264,-1.96157
100052789,dbsjdamp,"Glossop, Library (Adj)",53.44664,-1.95027
100000018918,dbsgpajw,"Padfield, Peels Arms PH (opp)",53.46325,-1.95559
1000DADR1124,dbsjadat,"Ambergate, Hurt Arms (Adj)",53.06028,-1.48143
1000DADR3368,dbsagagp,"Ambergate, Hurt Arms (Opp)",53.05978,-1.48145
1000DANRP772,dbsgwdtm,"Ashford-in-the-Water, Ashford Arms (Opp)",53.22450,-1.70649
1000DBBRSA98,dbsjadmd,"Bakewell, Buxton Road (Stand A)",53.21342,-1.67654
1000DBMP2580,dbsgtdwm,"Buxton (Derbyshire), Market Place (Stop A)",53.25657,-1.91395
1000DBMP2585,dbsgtgag,"Buxton (Derbyshire), Market Place (Stop D)",53.25639,-1.91393
1000DBMSS363,dbsgmajd,"Bakewell, Matlock Street (Stand E)",53.21190,-1.67441
1000DCBR2811,dbsgjdtg,"Chapel en le Frith, Netherfield Road (adj)",53.32467,-1.90356
1000DCBR2971,dbsgjdtp,"Chinley, High Peak Offices (Adj)",53.33564,-1.92034
1000DCBR2972,dbsgjdtw,"Chapel en le Frith, Jolly Carter (Opp)",53.32354,-1.89877
1000DCBR3593,dbsajdtg,"Chinley, High Peak Offices (Opp)",53.33568,-1.92023
1000DBSR2132,dbsgjpap,"Buxton (Derbyshire), Railway Station (Adj)",53.26055,-1.91139
1000DBSR2133,dbsgjpat,"Buxton (Derbyshire), Railway Station (Opp)",53.26032,-1.91288
1000DBVGH890,dbsajawt,"Birch Vale, Grouse Hotel (adj)",53.37787,-1.96693
1000DBVH3656,dbsajdad,"Birch Vale, Hayfield Road (W-bound)",53.37664,-1.97206
1000DBVH3657,dbsajdag,"Birch Vale, Hayfield Road (E-bound)",53.37653,-1.97316
1000DBVH3658,dbsajdaj,"Birch Vale, The Vine (Opp)",53.37569,-1.97855
1000DBVH3659,dbsajdam,"Birch Vale, The Vine (Adj)",53.37563,-1.97943
1000DBVH5983,dbsajdap,"Birch Vale, Grouse Hotel (NE-bound)",53.37806,-1.96687
1000DBVN3655,dbsajdga,"Birch Vale, Birch Hall Close (Adj)",53.37885,-1.96354
1000DBVS5982,dbsgjtdg,"Birch Vale, Grouse Hotel (opp)",53.37862,-1.96581
1000DCTEH262,dbsgdtap,"Chapel en le Frith, Town End (opp)",53.32509,-1.90803
1000DCFH3512,dbsajmgp,"Chapel en le Frith, New Inn (Opp)",53.32254,-1.91907
1000DCFH3596,dbsajmgt,"Chapel en le Frith, Burrfields Road (Adj)",53.32806,-1.91181
1000DCFH3597,dbsajmgw,"Chapel en le Frith, Burrfields Road (Opp)",53.32809,-1.91173
1000DCGR3483,dbsgdwpw,"Charlesworth, Springmeadow (Opp)",53.43546,-1.98990
1000DCGR3484,dbsgdwta,"Charlesworth, Glossop Road (NE-bound)",53.43306,-1.99301
1000DCGR3719,dbsgdwtd,"Chunal, Grouse Inn (Adj)",53.41149,-1.95117
1000DCGR3720,dbsgdwtg,"Chunal, Grouse Inn (Opp)",53.41156,-1.95128
1000DCHH4540,dbsajpdm,"Chinley, Old Coach House (Opp)",53.35782,-1.92787
1000DCHH4541,dbsajpdp,"Chinley, Old Coach House (Adj)",53.35782,-1.92769
1000DCHR2984,dbsajpgj,"Chapel en le Frith, Town End (Adj)",53.32525,-1.90733
1000DCHR4538,dbsdpgda,"Chinley, Green Acres Farm (Adj)",53.35236,-1.92674
1000DCHR4539,dbsdpgdg,"Chinley, Green Acres Farm (opp)",53.35237,-1.92666
1000DCLL3799,dbsgjajw,"Charlesworth, Mote Hall Farm (Opp)",53.43725,-1.99948
1000DCLL3800,dbsgjama,"Charlesworth, Bankwood Mill (Opp)",53.43920,-2.00077
1000DCLL3801,dbsgjamd,"Charlesworth, Mote Hall Farm (Adj)",53.43719,-1.99958
1000DCLL3802,dbsgjamg,"Charlesworth, Long Lane (NW-bound)",53.43356,-1.99588
1000DCLL3803,dbsgjamj,"Charlesworth, Besthill (Adj)",53.44002,-2.00585
1000DCLL4368,dbsgjamp,"Charlesworth, Long Lane (SE-bound)",53.43365,-1.99585
1000DCLL4369,dbsgjamt,"Charlesworth, Bankwood Mill (Adj)",53.43912,-2.00052
1000DCLL4370,dbsgjamw,"Charlesworth, Besthill (Opp)",53.44004,-2.00597
1000DDBL4247,dbsgdtgt,"Brookfield (Glossop), Cottage Lane (Adj)",53.45143,-1.98082
1000DDBP4244,dbsgdtjd,"Brookfield (Glossop), Melandra Road (Adj)",53.45427,-1.98437
1000DDBS4246,dbsamajg,"Brookfield (Glossop), Cottage Lane (Opp)",53.45185,-1.98118
1000DDDL3171,dbsgdwdt,"Darley Dale, Grouse Inn (Adj)",53.16707,-1.59962
1000DDDL3172,dbsamapa,"Darley Dale, Grouse Inn (Opp)",53.16751,-1.60069
1000DDDR2138,dbsamapt,"Dinting, Railway Station (Opp)",53.44995,-1.96930
1000DDDR3778,dbsamapw,"Dinting, Spire Hollin (adj)",53.44913,-1.95700
1000DDDR3779,dbsamata,"Dinting, Spire Hollin (Opp)",53.44921,-1.95703
1000DDDR3780,dbsamatd,"Dinting, Vicarage (Opp)",53.44820,-1.96664
1000DDDR3781,dbsamatg,"Dinting, Vicarage (Adj)",53.44796,-1.96569
1000DDDR3782,dbsamatj,"Dinting, Rail Junction (Opp)",53.44879,-1.96744
1000DDDV3411,dbsamdgd,"Dinting Vale, The Junction (adj)",53.44453,-1.96824
1000DDDV3413,dbsamdgj,"Dinting Vale, Primary School (Opp)",53.44602,-1.97089
1000DDDV3414,dbsamdgm,"Dinting Vale, Primary School (Adj)",53.44593,-1.97052
1000DDDV3415,dbsamdgp,"Dinting Vale, Glossop Road (adj)",53.44722,-1.97356
1000DDDV3835,dbsamdgt,"Dinting Vale, Glossop Road (Opp)",53.44712,-1.97301
1000DDDV4248,dbsgdadm,"Dinting Vale, Works (Adj)",53.44912,-1.97772
1000DDDV4249,dbsgdadp,"Dinting Vale, Works (Opp)",53.44962,-1.97801
1000DDHA2842,dbsgdajp,"Dove Holes, Sparrowpit Road (W-bound)",53.31190,-1.88576
1000DDHA2973,dbsgdajt,"Dove Holes, Barmoor Clough (adj)",53.31223,-1.88703
1000DDHB2810,dbsgdama,"Dove Holes, Barmoor Clough (opp)",53.31216,-1.88727
1000DDHH2139,dbsamdpg,"Dove Holes, Bus Depot (Adj)",53.29986,-1.88693
1000DDHS3412,dbsgdapj,"Dinting Vale, The Junction (Opp)",53.44450,-1.96596
1000DDHTG812,dbsgdata,"Dove Holes, Bus Depot (Opp)",53.29997,-1.88703
1000DCMR1156,dbsgjatd,"Chisworth, The Hunters (opp)",53.42655,-2.00947
1000DCMR3485,dbsajpmj,"Charlesworth, Lee Head (Opp)",53.42922,-1.99746
1000DCMR3486,dbsajpmp,"Charlesworth, Lee Head (Adj)",53.42982,-1.99639
1000DCMR3805,dbsajpmt,"Charlesworth, Glossop Road (SW-bound)",53.43289,-1.99305
1000DCMR4595,dbsajpmw,"Chisworth, The Hunters (Opp)",53.42654,-2.00821
1000DCMR4596,dbsajpta,"Chisworth, Marple Road 91 (adj)",53.42628,-2.00568
1000DCMR4598,dbsajptd,"Chisworth, Holehouse (Opp)",53.42639,-2.00210
1000DCMR4599,dbsajptg,"Chisworth, Holehouse (Adj)",53.42662,-2.00178
1000DCMRN879,dbsajpwg,"Chapel en le Frith, New Inn (Adj)",53.32195,-1.92039
1000DFVB1313,dbsgtgjg,"Furness Vale, Soldier Dick (Opp)",53.34909,-1.99099
1000DFVB2140,dbsgtgjm,"Furness Vale, Soldier Dick (Adj)",53.34963,-1.99137
1000DFVB3513,dbsgtgjp,"Newtown (New Mills), Redmoor House (Adj)",53.35734,-2.00101
1000DFVB3521,dbsgtgjt,"Furness Vale, Hollins View (Adj)",53.34568,-1.98641
1000DFVB3522,dbsgtgjw,"Furness Vale, Hollins View (Opp)",53.34569,-1.98628
1000DFVB3523,dbsgtgma,"Furness Vale, Primary School (Adj)",53.34779,-1.98817
1000DFVB3527,dbsgtgmd,"Newtown (New Mills), Redmoor House (Opp)",53.35732,-2.00071
1000DFVB3537,dbsgtgmg,"Furness Vale, St Johns Church (Opp)",53.35303,-1.99644
1000DFVB3539,dbsgtgmj,"Furness Vale, Crescent Drive (Opp)",53.34338,-1.98566
1000DFVB3540,dbsgtgmp,"Furness Vale, Dale Farm Dairy (Opp)",53.35136,-1.99458
1000DFVB3541,dbsgtgmt,"Furness Vale, Dale Farm Dairy (Adj)",53.35112,-1.99410
1000DFVB3542,dbsgawjw,"Furness Vale, St Johns Church (Adj)",53.35298,-1.99655
1000DFVB3547,dbsgawma,"Furness Vale, Crescent Drive (Adj)",53.34363,-1.98583
1000DGCL3416,dbsgawpj,"Gamesley, Cottage Lane South End (adj)",53.44615,-1.98040
1000DGGR3421,dbsgtgmw,"Gamesley, Samas Roneo (adj)",53.44445,-1.98421
1000DGGR3476,dbsgtgpa,"Gamesley, Samas Roneo (Opp)",53.44497,-1.98295
1000DGGR3477,dbsgtgpd,"Gamesley, Railway Bridge (adj)",53.44334,-1.98754
1000DGGR3478,dbsgtgpg,"Gamesley, Railway Bridge (opp)",53.44353,-1.98734
1000DGGR3479,dbsgtgpj,"Gamesley, St Margarets School (Adj)",53.44173,-1.98778
1000DGGR3480,dbsgtgpm,"Gamesley, St Margarets School (Opp)",53.44173,-1.98790
1000DGGR3804,dbsgtgpt,"Gamesley, Hargate Hill (Adj)",53.43888,-1.98835
1000DGGR4435,dbsgtgpw,"Charlesworth, Springmeadow (Adj)",53.43590,-1.98959
1000DGHS0900,dbsgtgwj,"Glossop, Henry Street (Stop A)",53.44387,-1.94900
1000DGHS1150,dbsgtgwm,"Glossop, Howard Arms (Adj)",53.44333,-1.94815
1000DGHS3403,dbsgtgwp,"Glossop, Arundel Street (opp)",53.44338,-1.95190
1000DGHS3404,dbsgtgwt,"Glossop, Arundel Street (adj)",53.44355,-1.95326
1000DGHS3405,dbsgtjad,"Glossop, St Marys Road (adj)",53.44346,-1.95535
1000DGHS3406,dbsgtjag,"Glossop, St Marys Road (Opp)",53.44354,-1.95576
1000DGHS3407,dbsgtjaj,"Glossop, Sunlaws Street (Adj)",53.44340,-1.95874
1000DGHS3408,dbsgtjam,"Glossop, Sunlaws Street (Opp)",53.44353,-1.95902
1000DGHS3409,dbsgajwa,"Glossop, Grapes Inn (Adj)",53.44361,-1.96057
1000DGHS3410,dbsgajwd,"Glossop, Grapes Inn (Opp)",53.44426,-1.96277
1000DGHS4258,dbsgajwg,"Glossop, Regency Close (Adj)",53.44405,-1.94334
1000DGHS4259,dbsgajwj,"Glossop, Regency Close (Opp)",53.44377,-1.94386
1000DGHSW936,dbsgajwm,"Glossop, Market Hall (Adj)",53.44327,-1.94983
1000DGMC3417,dbsgamga,"Gamesley, Edale Crescent (adj)",53.44831,-1.98326
1000DGMC3418,dbsgamgd,"Gamesley, Eyam Lane (adj)",53.45065,-1.98806
1000DGMC3419,dbsgamgj,"Gamesley, The Centurion (Adj)",53.44547,-1.99106
1000DGMC3420,dbsgamgm,"Gamesley, Youlgreave Crescent East (Adj)",53.44494,-1.98602
1000DGMC4584,dbsgtjap,"Gamesley, Hathersage Crescent (adj)",53.44945,-1.98483
1000DGMCR937,dbsgtjat,"Gamesley, Hollins Lane (adj)",53.44866,-1.98930
1000DGSR1146,dbsgtjmp,"Glossop, Royal Oak (Adj)",53.44447,-1.92814
1000DGSR4251,dbsgtjmt,"Glossop, Cowbrook Avenue (Opp)",53.44468,-1.93186
1000DGSR4252,dbsgtjmw,"Glossop, Cowbrook Avenue (Adj)",53.44468,-1.93271
1000DGSR4253,dbsgtjpa,"Glossop, Brook Meadow (adj)",53.44476,-1.93457
1000DGSR4254,dbsgtjpd,"Glossop, Brook Meadow (Opp)",53.44483,-1.93466
1000DGSR4256,dbsgampj,"Glossop, Commercial Inn (Adj)",53.44478,-1.93938
1000DGSR4257,dbsgampm,"Glossop, Commercial Inn (opp)",53.44471,-1.93930
1000DGSR4385,dbsgampt,"Glossop, Royal Oak (Opp)",53.44437,-1.92808
1000DGTR3777,dbsgamwa,"Glossop, Talbot Road (E-bound)",53.44893,-1.94685
1000DDSL4373,dbsgdgja,"Dinting Vale, Industrial Estate (opp)",53.45189,-1.97955
1000DDSL4374,dbsgdgjd,"Dinting Vale, Industrial Estate (adj)",53.45158,-1.97989
1000DDTR3936,dbsamgmw,"Glossop, Howard Park (opp)",53.44953,-1.95065
1000DDTR3937,dbsamgpa,"Glossop, Howard Park (adj)",53.45008,-1.95420
1000DHCS4283,dbsampwg,"Hadfield, St Andrews Church (Adj)",53.46080,-1.96809
1000DHCS4391,dbsampwt,"Hadfield, St Andrews Church (Opp)",53.46064,-1.96810
1000DHGL3787,dbsamtpa,"Hadfield, Oakfield Road (Adj)",53.45567,-1.97832
1000DHGL3788,dbsamtpd,"Hadfield, Oakfield Road (Opp)",53.45568,-1.97823
1000DHGLT899,dbsamtpt,"Hadfield, The Chieftain (adj)",53.45740,-1.97711
1000DHHB3789,dbsamtwm,"Hadfield, North Brook Road (Adj)",53.45982,-1.97895
1000DHHB3790,dbsamtwp,"Hadfield, North Brook Road (Opp)",53.45979,-1.97886
